Key,Value
login.welcome.message,歡迎來到
login.portalName,僱員平台
login.label.email,電郵
login.label.password,密碼
login.button.logIn,登入
login.link.forgotPassword,忘記密碼?
login.error.unauthorized,您輸入的電郵地址或密碼與我們的記錄不相符，請再輸入。
login.resetPassword.header.title,重設密碼
login.resetPassword.label.newPassword,新密碼
login.resetPassword.label.confirmPassword,確認密碼
login.resetPassword.button.submit,發送
password.guideline.header,您的密碼必須包含
password.guideline.minimumLength,8人字符或更多
password.guideline.mixCaseCharacters,大寫和小寫字母
password.guideline.alphanumeric,最少1個數字
password.validations.required,輸入密碼
password.validations.match,輸入的密碼不相符
password.validations.compliance,輸入的密碼不符合標準
forgotPassword.button.resetPassword,重設密碼
forgotPassword.Header.title,忘記您的密碼?
forgotPassword.Header.description,我們將以電郵形式發送重設密碼的連結，請提供您的電郵地址。
forgotPasswordSuccess.Header.title,請查看您的電子郵件
forgotPasswordSuccess.Header.description-yes,我們已發送重設密碼的連結到 <email>
forgotPasswordSuccess.Header.description-no,如您還未收到有關電郵，請檢查您的濫發郵件或垃圾郵件夾。或重新發送連結
forgotPasswordSuccess.button.resendLink,重新發送連結
forgotPasswordSuccess.button.backToLogin,返回登入
validations.invalid.email,輸入有效的電郵地址
validations.invalid.password,輸入有效的密碼
login.label.companyEmail,電郵地址
forgotPassword.button.back,返回
nav-choices,選擇
nav-claims,理賠
nav-me,我的檔案
nav-lifestyle,生活模式
footer.logoText,全力支援
claim.makeClaim.header.title,申請索償
claim.makeClaim.header.description,"遞交理賠功能只適用於香港境內之指定門診治療 (參考下一步之""門診類別"")。AXA將保留在理賠申請完成後6個月內要求您提供收據正本的權利，請保留您的收據正本。詳情請參閱成員小冊子。"
claim.makeClaim.document.info,確保你的文件清晰可見
claims.makeClaimForm.patientDetails.title,病者資料
claims.makeClaimForm.claimDetails.title,理賠資料
claims.makeClaimForm.patientName.label,病者姓名
claims.makeClaimForm.contactNumber.label,聯絡電話
claims.makeClaimForm.consultationType.label,診症類別
claims.makeClaimForm.diagnosis.label,診斷
claims.makeClaimForm.consultationDate.label,診症日期
claims.makeClaimForm.receiptAmount.label,收據金額
claims.makeClaimForm.anotherInsurer.label,我已向其他保險公司申請是次索償
claims.makeClaimForm.otherInsurerAmount.label,理賠金額 (其他保險公司)
claims.makeClaimForm.validations.required.consultationType,選擇求診類別
claims.makeClaimForm.validations.required.consultationDate,輸入求診日期
claims.makeClaimForm.validations.required.diagnosis,選擇診斷結論
claims.makeClaimForm.validations.required.receiptAmount,輸入有效的金額
claims.makeClaimForm.validations.max.receiptAmount,如欲申請高於 {amount} 的索償，請遞交實體索償申請表格
claims.makeClaimForm.receiptAmount.helperText,最高收據金額為 港幣
claims.makeClaimForm.contactNumber.helperText,可選擇填寫
claims.makeClaimForm.consultationDate.helperText,必須少於90天
claims.makeClaimForm.otherInsurerAmount.helperText,必須低於收據金額
claims.makeClaimForm.claimAmount.label,理賠金額
claim.makeClaimForm.walletBalance.header,保健保障餘額
claim.makeClaimForm.walletBalance.apiError,未能顯示保健保障餘額，請再輸入。
claim.makeClaimForm.walletBalance.zeroBalanceError,您的健康保障並無餘額，您未能遞交健康保障之索償。
claims.makeClaimForm.validations.max.claimAmount,必須低於健康保障餘額
claims.makeClaimForm.claimAmount.helperText,必須低於健康保障餘額
claims.makeClaimForm.uploadReceipt.title,收據
claims.makeClaimForm.uploadReceipt.description,"最多上載5個檔案 (每個檔案大小限制在2MB以內)。可接受PDF, JPG, TIFF, PNG 或HEIC。"
claims.makeClaimForm.button.uploadReceipts,上載
claims.makeClaimForm.uploadReferralLetter.title,醫生轉介信
claims.makeClaimForm.uploadReferralLetter.description,"上載1個檔案 (大小限制在2MB以內)。可接受PDF, JPG, TIFF, PNG 或HEIC。"
claims.makeClaimForm.uploadReferralLetter.info,必須提交註冊西醫的轉介信
claims.makeClaimForm.button.uploadReferralLetter,上載醫生轉介信
claims.makeClaimForm.button.submit,遞交
claims.makeClaimForm.submitLoaderMessage,索償正在遞交… <br> 請不要關閉或重新整理版面
claims.makeClaimSuccess.title,索償申請已遞交
claims.makeClaimSuccess.description,謝謝。請保留您的正本收據最少6個月。您的理賠會將14天內作出結算。
claims.makeClaimSuccess.button.backToClaims,返回索償
claims.makeClaimSuccess.button.makeAnotherClaim,申請另一個理賠個案
claims.claimDetails.header.pending,待審核
claims.claimDetails.header.approved,成功批核
claims.claimDetails.header.rejected,拒絕
claims.claimDetails.subHeader.outpatient,門診理賠
